year	2000
imdb score	6.4
meta score	50
genre	Comedy
genre	Drama
genre	Music
keyword	writer
keyword	minstrel show
keyword	actor
keyword	television
keyword	blackface
keyword	television industry
keyword	satire
keyword	african american
keyword	protest
keyword	destroying property
keyword	sexist
keyword	reference to al jolson
keyword	tap dancer
keyword	black american
keyword	drug use
keyword	verdict
keyword	shaving head
keyword	united paramount network
keyword	dixie
keyword	reference to whoopi goldberg
keyword	jewelry
keyword	father son relationship
keyword	reference to bill cosby
keyword	jail
keyword	penis
keyword	gold tooth
keyword	media
keyword	death
keyword	reference to desmond piper
keyword	servant
keyword	african american studies
keyword	reference to chris rock
keyword	slacker
keyword	dead body
keyword	reference to o.j. simpson
keyword	reference to aunt jemima
keyword	reference to morgan freeman
keyword	tap dancing
keyword	slave
keyword	reference to wesley snipes
keyword	murder
keyword	band
keyword	church
keyword	public access television
keyword	hallucination
keyword	voice over narration
keyword	white house
keyword	south carolina
keyword	staff meeting
keyword	recording
keyword	drink
keyword	dance
keyword	singing
keyword	bus
keyword	illegitimate child
keyword	slavery
keyword	ridicule
keyword	interracial relationship
keyword	paranoia
keyword	superficiality
keyword	abduction
keyword	gold chain
keyword	white gloves
keyword	reference to uncle tom
keyword	harvard university
keyword	headmaster
keyword	reference to mark twain
keyword	gospel music
keyword	selma alabama
keyword	internship
keyword	boarding school
keyword	stealing a chicken
keyword	reference to muhammad ali
keyword	harlem manhattan new york city
keyword	hip hop
keyword	american broadcasting company
keyword	revolutionary
keyword	talk radio
keyword	dancing on top of conference table
keyword	stand up comedian
keyword	reference to james baldwin
keyword	sidekick
keyword	cnn
keyword	reference to matt dillon the actor
keyword	reference to sleep 'n' eat
keyword	mockery
keyword	reference to mother teresa
keyword	record player
keyword	integrity
keyword	riot
keyword	reference to shakespeare's hamlet
keyword	nbc
keyword	police
keyword	reference to mohammed ali
keyword	song
keyword	puerto rican american
keyword	crack cocaine
keyword	holocaust
keyword	bullet hole
keyword	reference to rudy giuliani
keyword	gangsta rap
keyword	manhattan new york city
keyword	1960 olympics
keyword	reference to ten little niggers
keyword	backstage
keyword	reference to abraham lincoln
keyword	reference to samuel l. jackson
keyword	audition
keyword	reference to vanilla ice
keyword	reference to frankenstein
keyword	cocoa butter
keyword	assumed superiority
keyword	mirror
keyword	racial stereotype
keyword	political correctness
keyword	tv commercial
keyword	watermelon
keyword	reference to charles darwin
keyword	emmy award
keyword	cigarette smoking
keyword	magical negro stereotype
keyword	talking to the camera
keyword	rehearsal
keyword	family relationships
keyword	chicken
keyword	revolution
keyword	narration from the grave
keyword	backstage magazine
keyword	award ceremony
keyword	tragedy
keyword	live television
keyword	reference to johnny cochran
keyword	laziness
keyword	africa
keyword	crack pipe
keyword	interracial marriage
keyword	boycott
keyword	millennium
keyword	american flag
keyword	unemployment
keyword	reference to clarence thomas
keyword	chicken thief
keyword	tv ratings
keyword	money
keyword	african american stereotype
keyword	animated sequence
keyword	inferiority complex
keyword	tv studio
keyword	jewish
keyword	reference to joseph
