year	1998
imdb score	5.8
meta score	57
genre	Drama
genre	Horror
genre	Mystery
keyword	spirit
keyword	farm
keyword	ohio
keyword	freedom
keyword	slavery
keyword	carnival
keyword	family relationships
keyword	milk
keyword	burnt hand
keyword	diamond
keyword	canoe
keyword	death of daughter
keyword	secret
keyword	female nudity
keyword	horse riding
keyword	newspaper clipping
keyword	urination
keyword	back from the dead
keyword	sex
keyword	oven
keyword	torture
keyword	children
keyword	lynching
keyword	marriage
keyword	animal sex
keyword	box office flop
keyword	insect
keyword	horse and wagon
keyword	bread
keyword	preaching
keyword	physical abuse
keyword	vomit
keyword	throat scar
keyword	ice pick
keyword	ghost
keyword	brother sister relationship
keyword	ghost of baby
keyword	pregnancy
keyword	beating
keyword	dog eye
keyword	dancer
keyword	eating
keyword	brutality
keyword	mother son relationship
keyword	subjective camera
keyword	rural setting
keyword	crystal
keyword	drinking
keyword	icicle
keyword	earring
keyword	horse and carriage
keyword	dancing
keyword	african american
keyword	cruelty
keyword	turtle sex
keyword	1860s
keyword	topless female nudity
keyword	riverboat
keyword	cincinnati ohio
keyword	1870s
keyword	murder
keyword	reincarnation
keyword	bloody body of child
keyword	love
keyword	animal cruelty
keyword	nightmare
keyword	band
keyword	black american
keyword	grandmother granddaughter relationship
keyword	whipping
keyword	sadness
keyword	pain
keyword	crying
keyword	chicken
keyword	farmhouse
keyword	tears
keyword	husband wife relationship
keyword	turtle
keyword	kentucky
keyword	fire
keyword	death
keyword	pulitzer prize source
keyword	nudity
keyword	mother kills own child
keyword	fire eater
keyword	bandstand
keyword	dog
keyword	dream
keyword	butterfly
keyword	baby
keyword	suffering
keyword	father daughter relationship
keyword	illness
keyword	coyote
keyword	mysticism
keyword	childbirth
keyword	pregnant woman nude
keyword	barn
keyword	infanticide
keyword	drunkenness
keyword	river
keyword	brother brother relationship
keyword	snow
keyword	horse
keyword	farming
keyword	blood
keyword	breast feeding
keyword	racial slur
keyword	boat
keyword	farmer
keyword	bug
keyword	stove
keyword	father daughter incest
keyword	rain
keyword	hanging
keyword	rocking chair
keyword	child murder
keyword	general store
keyword	food
keyword	pig
keyword	sideshow
keyword	wind
keyword	preacher
keyword	drink
keyword	screaming
keyword	underwater scene
keyword	duck
keyword	broken dish
keyword	mother daughter relationship
keyword	19th century
keyword	haunting
keyword	bath
keyword	farmers market
keyword	scar
keyword	hanging of mother
keyword	retarded child
keyword	mental retardation
keyword	throwing dog against wall
keyword	flashback
keyword	carnival ride
keyword	guilt
keyword	bare breasts
keyword	one word title
keyword	baking
keyword	murder of mother
keyword	kiss
keyword	sermon
keyword	church
keyword	supernatural power
keyword	dugout canoe
keyword	washing bedding
keyword	death of mother
keyword	based on novel
keyword	
cast	Yada Beener	Denver aged 9
cast	Emil Pinnock	Howard aged 14
cast	Calen Johnson	Buglar aged 13
cast	Oprah Winfrey	Sethe
cast	Beah Richards	Baby Suggs
cast	Danny Glover	Paul D
cast	Kimberly Elise	Denver
cast	George E. Ray	Reverend Pike
cast	Jude Ciccolella	Schoolteacher
cast	Wes Bentley	Schoolteacher's Nephew
cast	Kessia Embry	Amy Denver
cast	Dashiell Eaves	Schoolteacher's Nephew
cast	LisaGay Hamilton	Younger Sethe
cast	Tyler Hinson	Baby Beloved
cast	Brian Hooks	Young Paul D
cast	Angie Utt	Mrs. Garner
cast	Hill Harper	Halle
cast	Thandie Newton	Beloved
cast	Jim Roche	String Show Barker
cast	Irma P. Hall	Ella
cast	Dorothy Love Coates	M. Lucille Williams
cast	Vertamae Grosvenor	Grace
cast	Ramona Castle	Carnival Kid
cast	Brooklyn James	Carnival Kid
