year	1988
imdb score	8.3
meta score	70
genre	Action
genre	Thriller
keyword	terrorist
keyword	hostage
keyword	christmas
keyword	party
keyword	christmas party
keyword	robbery
keyword	vault
keyword	christmas eve
keyword	fbi
keyword	held at gunpoint
keyword	detective
keyword	hero
keyword	blood
keyword	maiden name
keyword	part of series
keyword	weapon
keyword	barefoot
keyword	rolex watch
keyword	corpse
keyword	reporter
keyword	police brutality
keyword	heist
keyword	monologue
keyword	television
keyword	machismo
keyword	fistfight
keyword	1980s
keyword	mexican standoff
keyword	one against many
keyword	junk food
keyword	falling from height
keyword	police officer shot in the head
keyword	stealing from a dead body
keyword	cameraman
keyword	wisecrack humor
keyword	one man army
keyword	showdown
keyword	evil man
keyword	pregnancy
keyword	blood splatter
keyword	fragments of glass
keyword	death of brother
keyword	villain not really dead cliche
keyword	terrorist group
keyword	bearer bonds
keyword	body landing on a car
keyword	stupid victim
keyword	elevator
keyword	elevator shaft
keyword	falling down stairs
keyword	shooting
keyword	one day
keyword	one night
keyword	slow motion scene
keyword	character repeating someone else's dialogue
keyword	silencer
keyword	beating
keyword	murder
keyword	hand to hand combat
keyword	reference to beethoven's ninth
keyword	quick draw
keyword	police officer killed
keyword	gore
keyword	bare chested male
keyword	brawl
keyword	stockholm syndrome
keyword	soldier killed
keyword	reference to john wayne
keyword	free fall
keyword	claustrophobia
keyword	news report
keyword	police officer shot
keyword	karate
keyword	pistol whip
keyword	faked accent
keyword	hip hop music
keyword	reluctant hero
keyword	walkie talkie
keyword	shot in the head
keyword	swiss watch
keyword	unlikely hero
keyword	california
keyword	gun duel
keyword	christmas tree
keyword	exploding helicopter
keyword	beretta
keyword	violence
keyword	action hero
keyword	maverick cop
keyword	unsubtitled foreign language
keyword	suspense
keyword	mixed martial arts
keyword	walking on broken glass
keyword	car accident
keyword	karate chop
keyword	gunfight
keyword	soldier strangulated
keyword	german stereotype
keyword	los angeles california
keyword	explosion
keyword	loose cannon
keyword	against the odds
keyword	c4 explosives
keyword	talking to one's self
keyword	santa claus costume
keyword	martial arts
keyword	japanese businessman
keyword	fire hose used as rope
keyword	black comedy
keyword	glass
keyword	soliloquy
keyword	neck breaking
keyword	warrior
keyword	marital problem
keyword	race against time
keyword	battle of wits
