year	2008
imdb score	8.2
meta score	72
genre	Drama
keyword	gang
keyword	hmong
keyword	gran torino
keyword	teenager
keyword	veteran
keyword	korean war veteran
keyword	old man
keyword	widower
keyword	birthday
keyword	gangster
keyword	priest
keyword	car
keyword	bigotry
keyword	workshop
keyword	racial diversity
keyword	title appears in song
keyword	no opening credits
keyword	hip hop music
keyword	tough guy
keyword	garden gnome
keyword	dysfunctional family
keyword	bigot
keyword	zippo lighter
keyword	grandfather granddaughter relationship
keyword	racial intolerance
keyword	immigrant
keyword	ethnic humor
keyword	shaman
keyword	golden retriever
keyword	misanthropy
keyword	driveby shooting
keyword	bigoted neighbor
keyword	child translates for adult
keyword	uzi
keyword	off screen rape
keyword	detroit michigan
keyword	korea veteran
keyword	handyman
keyword	blood
keyword	provocation
keyword	barber shop
keyword	shot to death
keyword	hardware store
keyword	father son relationship
keyword	cousin cousin relationship
keyword	nasty neighbor
keyword	barber
keyword	irish american
keyword	asian mob
keyword	loner
keyword	product placement
keyword	father figure
keyword	drive by shooting
keyword	cough foreshadows death
keyword	wd 40 oil
keyword	heroism
keyword	woman doctor
keyword	redemption
keyword	shot in the chest
keyword	barbecue grill
keyword	held at gunpoint
keyword	horoscope
keyword	incest overtones
keyword	haunted by the past
keyword	ford torino
keyword	confession
keyword	handgun
keyword	teen angst
keyword	husband wife relationship
keyword	directed by star
keyword	silver star
keyword	compassion
keyword	punched in the face
keyword	incest
keyword	incest rape
keyword	street gang
keyword	vintage car
keyword	ghetto
keyword	ceiling fan
keyword	urban decay
keyword	thug
keyword	mentor
keyword	racist joke
keyword	gift
keyword	curmudgeon
keyword	disrespect
keyword	bar
keyword	racial issues
keyword	asian american
keyword	machismo
keyword	american flag
keyword	disinheritance
keyword	death of protagonist
keyword	male bonding
keyword	teen smoking
keyword	villain arrested
keyword	revenge
keyword	alpha male
keyword	murder
keyword	catholic priest
keyword	tragic event
keyword	coughing blood
keyword	racism
keyword	culture clash
keyword	racial barrier
keyword	gardening
keyword	title appears in writing
keyword	bath
keyword	medal of valor
keyword	tradition
keyword	self sacrifice
keyword	cooler
keyword	tradition versus modernity
keyword	bully
keyword	raised middle finger
keyword	death of wife
keyword	granddaughter
keyword	wasted life
keyword	generation gap
keyword	beating
keyword	insult
keyword	confession booth
keyword	kicked in the face
keyword	rifle
keyword	bully comeuppance
keyword	construction
keyword	lapsed catholic
keyword	rape victim
keyword	ethnic slur
keyword	malcontent
keyword	beer
keyword	house repairs
keyword	racial tension
