year	2007
imdb score	7.2
meta score	65
genre	Drama
genre	Sci-Fi
genre	Thriller
keyword	survivor
keyword	cure
keyword	plague
keyword	virus
keyword	scientist
keyword	new york city
keyword	cancer
keyword	blood
keyword	mutant
keyword	sole survivor
keyword	dog
keyword	revelation
keyword	interracial marriage
keyword	faith
keyword	imaginary friend
keyword	mutation
keyword	main character dies
keyword	hit by a car
keyword	civilization
keyword	helicopter accident
keyword	eye scanning
keyword	talk radio
keyword	sitting in a bathtub
keyword	fighter plane
keyword	hunting
keyword	darkness
keyword	severed head
keyword	army
keyword	hdtv
keyword	working out
keyword	sleeping in a bathtub
keyword	despair
keyword	laptop computer
keyword	puppy
keyword	revenge
keyword	daughter
keyword	washington square manhattan new york city
keyword	loneliness
keyword	suture
keyword	escape
keyword	aircraft carrier
keyword	plundering
keyword	loss of wife
keyword	shrek
keyword	evacuation
keyword	leg injury
keyword	helicopter
keyword	cgi animal in live action film
keyword	fried bacon
keyword	sleeping in a bathtub
keyword	broadcast
keyword	ultraviolet light
keyword	vaccine
keyword	bridge collapse
keyword	mutant virus
keyword	infection
keyword	horror movie remake
keyword	isolation
keyword	booby trap
keyword	injection
keyword	ford mustang
keyword	stairs
keyword	animal attack
keyword	pull ups
keyword	manhattan new york city
keyword	death of protagonist
keyword	exploding bridge
keyword	sports car
keyword	hiding
keyword	vivisection
keyword	u.s. president
keyword	atheist
keyword	medical research
keyword	brooklyn bridge
keyword	tattoo
keyword	brazilian
keyword	falling down stairs
keyword	shooting
keyword	husband wife relationship
keyword	human animal relationship
keyword	neo noir
keyword	pandemic
keyword	omega man
keyword	vampire
keyword	zombie
keyword	future noir
keyword	exploding car
keyword	capture
keyword	single mother
keyword	post apocalypse
keyword	vegetable garden
keyword	mannequin
keyword	very little dialogue
keyword	trap
keyword	devastation
keyword	radio broadcast
keyword	immunity
keyword	german shepherd
keyword	syringe
keyword	golf
keyword	rifle
keyword	bob marley
keyword	last man on earth
keyword	mutant dog
keyword	future
keyword	real movie shown in fictional situation
keyword	loss of family
keyword	epidemic
keyword	video store
keyword	wristwatch
keyword	vermont
keyword	children's room
keyword	broken glass
keyword	back to nature
keyword	serum
keyword	dystopia
keyword	2010s
keyword	hopelessness
keyword	painting
keyword	death of hero
keyword	suicide
keyword	bacon
keyword	survivalist
keyword	falling from height
keyword	burnt face
keyword	death
keyword	bridge
keyword	laboratory
keyword	based on novella
keyword	flashback
keyword	central park manhattan new york city
keyword	lens flare
keyword	depression
keyword	prophecy
keyword	mental breakdown
keyword	cancer cure
keyword	butterfly
keyword	knife
keyword	christmas
keyword	religion
keyword	reference to god
keyword	experiment
keyword	animal burial
keyword	blockbuster
keyword	deer
keyword	widower
keyword	rat
keyword	tv interview
keyword	killing an animal
keyword	bare chested male
keyword	gun
keyword	death of dog
keyword	lion
keyword	helicopter crash
keyword	bomb
keyword	times square manhattan new york city
keyword	claim in title
keyword	generator
keyword	death of pet
keyword	chase
keyword	child in peril
keyword	east river
