year	1997
imdb score	7.2
meta score	71
genre	Comedy
genre	Sci-Fi
keyword	alien
keyword	galaxy
keyword	nypd
keyword	bug
keyword	new york city
keyword	flying saucer
keyword	technology
keyword	escape by car
keyword	taxi
keyword	world trade center manhattan new york city
keyword	suicide by jumping off a building
keyword	government
keyword	ginger cat
keyword	alien autopsy
keyword	male taxi driver
keyword	using a false name
keyword	oldsmobile
keyword	reference to captain america
keyword	exterminator
keyword	patriot
keyword	reference to elvis presley
keyword	bravery
keyword	desk bell
keyword	latex gloves
keyword	vomiting on someone
keyword	cup of coffee
keyword	8 track
keyword	rooftop chase
keyword	pug
keyword	newspaper stand
keyword	woman hostage
keyword	death of a fly
keyword	replacement
keyword	illegal immigrant
keyword	pet cat
keyword	resisting arrest
keyword	diamond
keyword	redneck
keyword	milky way
keyword	loose cannon
keyword	stabbed in the neck
keyword	suicide
keyword	tow truck
keyword	vomit
keyword	tunnel
keyword	illegal alien
keyword	reference to chicago bulls
keyword	calling someone an idiot
keyword	recapitation
keyword	baseball stadium
keyword	wearing sunglasses at night
keyword	recoil
keyword	reference to bloomingdale's department store
keyword	human versus alien
keyword	obscene finger gesture
keyword	spoof
keyword	dodge
keyword	chase on the roof
keyword	shea stadium queens new york city
keyword	giant bug
keyword	based on comic book
keyword	swatting fly
keyword	secret agent
keyword	character repeating someone else's dialogue
keyword	border patrol
keyword	farmhouse
keyword	marlboro cigarettes
keyword	interrogation room
keyword	i love ny t shirt
keyword	pump action shotgun
keyword	twix candy bar
keyword	alien baby
keyword	plymouth
keyword	autopsy room
keyword	spacecraft
keyword	queens new york city
keyword	character appears in newspaper
keyword	lemonade
keyword	tabloid
keyword	jumping through a window
keyword	chevrolet
keyword	cult film
keyword	jewelry store
keyword	newspaper
keyword	gmc truck
keyword	raid
keyword	chevrolet corvette
keyword	atlanta braves
keyword	cult film
keyword	alien intelligence
keyword	reference to the beatles
keyword	pickup truck
keyword	yellow cab
keyword	snickers
keyword	red jacket
keyword	hot dog
keyword	jumping off a bridge
keyword	baby ruth candy bar wrapper
keyword	pawnshop
keyword	ufo crash site
keyword	reference to the nazis
keyword	baby ruth
keyword	bench
keyword	running from the police
