year	1978
imdb score	7.4
meta score	86
genre	Action
genre	Fantasy
genre	Sci-Fi
keyword	planet
keyword	reporter
keyword	newspaper
keyword	nuclear missile
keyword	california
keyword	galaxy
keyword	earthquake
keyword	criminal
keyword	mission
keyword	flying
keyword	orphan
keyword	helicopter
keyword	escape
keyword	midwest
keyword	superhero
keyword	train
keyword	alien
keyword	love
keyword	disguise
keyword	farm
keyword	sabotage
keyword	prison
keyword	newspaper reporter
keyword	north pole
keyword	evil
keyword	news reporter
keyword	phantom zone
keyword	struck by lightning
keyword	golden gate bridge
keyword	origin of hero
keyword	newspaper editor
keyword	world trade center manhattan new york city
keyword	christ allegory
keyword	invulnerability
keyword	heart attack
keyword	hologram
keyword	sequel mentioned during end credits
keyword	secret headquarters
keyword	secret hideout
keyword	shootout
keyword	family relationships
keyword	space travel
keyword	super strength
keyword	screaming woman
keyword	foundling
keyword	indoor swimming pool
keyword	cat
keyword	toupee
keyword	great plains
keyword	super genius
keyword	army
keyword	interview
keyword	dual identity
keyword	killed by a train
keyword	1950s
keyword	flying man
keyword	reboot of series
keyword	test launch
keyword	guide animal
keyword	1970s
keyword	super villain
keyword	supernova
keyword	reference to george armstrong custer
keyword	female reporter
keyword	yelling for help
keyword	comic relief
keyword	time lapse photography
keyword	editorial office
keyword	father son relationship
keyword	police officer killed
keyword	rooftop
keyword	loss of father
keyword	alien contact
keyword	flat tire
keyword	swimming pool
keyword	funeral
keyword	convertible
keyword	nerd
keyword	convoy
keyword	idealism
keyword	sunrise
keyword	subway
keyword	blockbuster
keyword	super speed
keyword	crime fighter
keyword	barn
keyword	revolving door
keyword	imprisonment
keyword	lightning
keyword	alley
keyword	telephone pole
keyword	control panel
keyword	heroism
keyword	x ray vision
keyword	secret identity
keyword	native american
keyword	crystal
keyword	television reporter
keyword	shot back to back
keyword	governmentia
keyword	innocence
keyword	school bus
keyword	time reversal
keyword	character appears on front page of a newspaper
keyword	product placement
keyword	catastrophe
keyword	jewel thief
keyword	helicopter accident
keyword	guided missile
keyword	catching someone who falls
keyword	prologue
keyword	year 1978
keyword	avalanche
