year	2008
imdb score	9.0
meta score	82
genre	Action
genre	Crime
genre	Drama
genre	Thriller
keyword	gotham
keyword	criminal
keyword	vigilante
keyword	criminal mastermind
keyword	district attorney
keyword	hero
keyword	chaos
keyword	organized crime
keyword	love triangle
keyword	fire
keyword	robbery
keyword	hope
keyword	money
keyword	clown
keyword	scarecrow
keyword	bank robbery
keyword	panic
keyword	bank
keyword	hong kong
keyword	bodyguard
keyword	psychological torture
keyword	vigilante justice
keyword	fake nurse
keyword	sniper rifle
keyword	russian mafia
keyword	lens flare
keyword	returning character killed off
keyword	crime fighter
keyword	slow motion scene
keyword	number in character's name
keyword	rocket
keyword	comic hero
keyword	courage
keyword	handcuffs
keyword	trial
keyword	blackmail
keyword	interrogation room
keyword	face paint
keyword	detective
keyword	scarred face
keyword	explosion
keyword	tied up
keyword	exploding car
keyword	mafia boss
keyword	ferry
keyword	party
keyword	body landing on a car
keyword	evacuation
keyword	shot in the chest
keyword	based on comic
keyword	broken ankle
keyword	pool table
keyword	media coverage
keyword	half face burned with gasoline
keyword	clown mask
keyword	impalement
keyword	clown makeup
keyword	rooftop
keyword	policewoman
keyword	star died before release
keyword	conflicted hero
keyword	fire truck
keyword	interview
keyword	secret identity
keyword	court
keyword	dog
keyword	self sacrifice
keyword	playing card
keyword	joker card
keyword	exploding helicopter
keyword	anti hero
keyword	masked villain
keyword	thrown from a car
keyword	bruise
keyword	killed in car
keyword	gangster
keyword	corpse
keyword	blockbuster
keyword	thrown off a balcony
keyword	gasoline
keyword	electronic music score in style of orchestral music score
keyword	knife
keyword	pool cue
keyword	impostor
keyword	domestic terrorism
keyword	revenge
keyword	penthouse
keyword	2000s
keyword	nurse uniform
keyword	police station
keyword	master servant relationship
keyword	corrupt cop
keyword	exploding body
keyword	judge
keyword	fear
keyword	bomb
keyword	gas grenade
keyword	bulletproof vest
keyword	mother daughter relationship
keyword	school bus
keyword	man wearing a wig
keyword	super villain
keyword	concept car
keyword	mutilation
keyword	mob boss
keyword	falling from height
keyword	neo noir
keyword	deformed face
keyword	hand to hand combat
keyword	car crash
keyword	tough guy
keyword	apartment
