year	1997
imdb score	7.7
meta score	74
genre	Drama
genre	Romance
keyword	titanic
keyword	ship
keyword	love
keyword	artist
keyword	diamond
keyword	suicide
keyword	iceberg
keyword	drawing
keyword	passenger
keyword	north atlantic
keyword	epic
keyword	lifeboat
keyword	safe
keyword	steerage
keyword	poker
keyword	shipwreck
keyword	salvage
keyword	american
keyword	dancing
keyword	disaster
keyword	survivor
keyword	immigration
keyword	rich snob
keyword	grandmother granddaughter relationship
keyword	love triangle
keyword	woman punching a man
keyword	necklace
keyword	video footage
keyword	string ensemble
keyword	portrait sitting
keyword	coal
keyword	arrogance
keyword	gift
keyword	loss of virginity
keyword	ship's crew
keyword	starving artist
keyword	southhampton england
keyword	forbidden love
keyword	sexual desire
keyword	single mother
keyword	obscene finger gesture
keyword	ship sinking
keyword	coitus
keyword	suicide attempt
keyword	dancer
keyword	name change
keyword	tuxedo
keyword	dolphin
keyword	handcuffs
keyword	year 1912
keyword	suicidal
keyword	staircase
keyword	flood
keyword	titanic survivor
keyword	old woman
keyword	class conflict
keyword	historical fiction
keyword	corset
keyword	face slap
keyword	elderly
keyword	young love
keyword	whistle
keyword	high society
keyword	tv news
keyword	attempted murder
keyword	passion
keyword	england
keyword	cowardice
keyword	distress call
keyword	famous score
keyword	framed
keyword	bell
keyword	nonlinear timeline
keyword	unsubtitled foreign language
keyword	u boat
keyword	swimming
keyword	voice over narration
keyword	newsreel footage
keyword	two suitors
keyword	sailor's death
keyword	heroine
keyword	no opening credits
keyword	star crossed lovers
keyword	spit in the face
keyword	wilhelm scream
keyword	drowning
keyword	nudity
keyword	wet
keyword	part computer animation
keyword	chase
keyword	domestic violence
keyword	widow
keyword	love at first sight
keyword	crushed to death
keyword	elevator
keyword	topless female nudity
keyword	belle epoque
keyword	shipbuilder
keyword	underwater
keyword	statue of liberty new york city
keyword	famous screen couple
keyword	tearjerker
keyword	female stockinged feet
keyword	suitor
keyword	melodrama
keyword	copulation
keyword	cleavage
keyword	ship wreck
keyword	self sacrifice
keyword	dream sequence
keyword	kissing while having sex
keyword	jealousy
keyword	freeze to death
keyword	class differences
keyword	tragedy
keyword	lifting someone into the air
keyword	nude modeling
keyword	cruise ship
keyword	sexual attraction
keyword	leak
keyword	reference to santa monica pier
keyword	hypothermia
keyword	one word title
keyword	soul mate
keyword	rich woman poor man
keyword	breasts
keyword	blockbuster
keyword	helicopter
keyword	mother daughter relationship
keyword	steel tycoon
keyword	guilt
keyword	pottery
keyword	bare breasts
keyword	submarine
keyword	oceanic expedition
keyword	tragic love
keyword	spitting
keyword	power failure
keyword	hero
keyword	told in flashback
keyword	axe
keyword	premarital sex
keyword	camera shot of feet
keyword	main character dies
