year	2005
imdb score	8.2
meta score	62
genre	Action
genre	Sci-Fi
genre	Thriller
keyword	government
keyword	terrorist
keyword	freedom
keyword	fascist
keyword	police
keyword	justice
keyword	secret police
keyword	freedom fighter
keyword	future
keyword	fight
keyword	hatred
keyword	girl
keyword	masked vigilante
keyword	mask
keyword	vigilante
keyword	torture
keyword	combat
keyword	search
keyword	revolution
keyword	detective
keyword	chancellor
keyword	vendetta
keyword	oppression
keyword	politics
keyword	good versus evil
keyword	crying
keyword	revenge
keyword	fertilizer
keyword	based on graphic novel
keyword	police car
keyword	cult film
keyword	lifting someone into the air
keyword	fascism
keyword	teenage girl
keyword	confrontation
keyword	blood
keyword	dead woman on a bed
keyword	prologue
keyword	masked man
keyword	man with no name
keyword	tv set
keyword	human experimentation
keyword	based on comic
keyword	lesbian
keyword	shower
keyword	real movie shown in fictional situation
keyword	exploding cigar
keyword	government vs citizen
keyword	disappearance
keyword	fictional war
keyword	watching tv
keyword	mysterious past
keyword	gunshot wound
keyword	food
keyword	bullet proof vest
keyword	police raid
keyword	explosion
keyword	church
keyword	pharmaceutical industry
keyword	dystopia
keyword	knocked out
keyword	blister
keyword	what if
keyword	2020s
keyword	lesbophobia
keyword	pub
keyword	rain
keyword	censorship
keyword	altered version of studio logo
keyword	parliament
keyword	inspector
keyword	no opening credits
keyword	sword
keyword	future noir
keyword	female female kiss
keyword	upskirt
keyword	tears
keyword	anarchy
keyword	experiment
keyword	investigation
keyword	shot to death
keyword	musical overture
keyword	qur'an
keyword	brainwashing
keyword	conspiracy
keyword	tv show
keyword	topless female nudity
keyword	framed butterfly
keyword	hostage
keyword	bullet time
keyword	fake news report
keyword	prison
keyword	secret identity
keyword	cellar
keyword	shooting
keyword	vertigo comics
keyword	neo noir
keyword	based on comic book
keyword	filmmaking
keyword	gun duel
keyword	voice over narration
keyword	pedophile priest
keyword	homosexuality
keyword	school uniform
keyword	actress
keyword	mysterious man
keyword	dancer
keyword	terrorism
keyword	white panties
keyword	neck breaking
keyword	dark hero
keyword	breakfast
keyword	shave and a haircut
keyword	guerrilla
keyword	death
keyword	strangulation
keyword	dagger
keyword	piccadilly circus london
keyword	mannequin
keyword	reference to faust
keyword	suffocation
keyword	underwear
keyword	priest
keyword	deja vu
keyword	head shaving
keyword	closeted homosexual
keyword	murder of a police officer
keyword	mouse hole
keyword	pharmacy
keyword	cell phone
keyword	fog machine
keyword	social injustice
keyword	train
keyword	visionary
keyword	photograph
keyword	murder
keyword	mirror ball
keyword	burnt body
keyword	statue
keyword	serial killer
keyword	jumping through a window
keyword	attempted rape
keyword	homosexual
keyword	vandalism
keyword	corpse
keyword	death of a child
keyword	kidnapping
keyword	water torture
keyword	bound and gagged
keyword	liar
keyword	defacing property
keyword	gang rape attempt
keyword	one man army
keyword	pants hit the floor
keyword	england
keyword	political propaganda
keyword	dance invitation
keyword	beating
keyword	nudity
keyword	treason
keyword	subway
keyword	satire
keyword	kiss
keyword	climbing out a window
keyword	assassin
keyword	lecherous clergyman
keyword	threatened with a knife
keyword	letter
keyword	virus
keyword	female nudity
keyword	off screen murder
keyword	black bra
keyword	lesbian kiss
keyword	student
keyword	mace spray
keyword	panties
keyword	falling from height
keyword	fighting the system
keyword	dominoes
keyword	loss of family
keyword	attacked with a knife
keyword	bombing
keyword	stabbing
keyword	flashback
keyword	breaking glass
keyword	bald woman
keyword	pedophile
keyword	mirror
keyword	grammar correction
keyword	protest
keyword	falling from a ledge
keyword	shot multiple times
keyword	bishop
keyword	mass grave
keyword	little girl
keyword	dance
keyword	egg
keyword	security guard
keyword	resurrection
keyword	lesbian relationship
keyword	national security
keyword	propaganda
keyword	resistance fighter
keyword	knife fight
keyword	closing credits sequence
keyword	reference to william shakespeare
keyword	suit of armor
keyword	evacuation
keyword	bio weapon
keyword	jail
keyword	martial arts
keyword	knife held to one's throat
keyword	homophobia
keyword	interrogation
keyword	burns over entire body
keyword	dripping blood
keyword	jail cell
keyword	scientific research
keyword	girls' school
keyword	drink
keyword	school
keyword	autopsy
keyword	barricade
keyword	bloodbath
keyword	diary
keyword	nosebleed
keyword	rose
keyword	leper colony
keyword	rooftop
keyword	girlfriend girlfriend relationship
keyword	post 911
keyword	fire
keyword	covered in blood
keyword	bag over head
keyword	loudspeaker
keyword	brutality
keyword	shakespearean quote
keyword	old bailey london
keyword	impersonator
keyword	dead girl
keyword	liberty
keyword	police detective
keyword	female crying
keyword	poisoned to death
keyword	burnt hand
keyword	sabotage
keyword	masked robber
keyword	domestic terrorism
keyword	british soldier
keyword	boy
keyword	showgirl
keyword	gun
keyword	police brutality
keyword	hit on the head
keyword	knife in the head
keyword	mini dress
keyword	double
keyword	courier
keyword	bare breasts
keyword	death of title character
keyword	catholic priest
keyword	reference to shakespeare's twelfth night
keyword	demonstration
keyword	lesbianism
keyword	gun in a book
keyword	public execution
keyword	commander
keyword	domino fall
keyword	alarm
keyword	suicide by hanging
keyword	tv news
keyword	prime minister
keyword	anti conformity
keyword	gay
keyword	shaved head
keyword	fireworks
keyword	anarchist
keyword	fast motion scene
keyword	elevator
keyword	defenestration
keyword	supernatural power
keyword	disfigured face
keyword	toilet
keyword	reference to benny hill
keyword	blood splatter
keyword	childhood memory
keyword	death of protagonist
keyword	knife throwing
keyword	execution
keyword	wiretapping
keyword	underground
keyword	death of brother
keyword	flower
keyword	pepper spray
keyword	slashing
keyword	hope
keyword	tragic event
keyword	lie
keyword	corrupt priest
keyword	prisoner
keyword	london england
keyword	pedophilia
keyword	jukebox
keyword	robbery
keyword	strapped to a bomb
keyword	chalk
keyword	riot
keyword	dc comics
keyword	rape
keyword	burned alive
keyword	dictator
keyword	building demolition
keyword	rat
keyword	sedition
keyword	biological warfare
keyword	masked hero
keyword	repeated line
keyword	exit wound
keyword	idealism
keyword	eating
keyword	broken eyeglasses
keyword	facial bllister
keyword	toilet paper
keyword	male nudity
keyword	surveillance
keyword	social commentary
keyword	held at gunpoint
keyword	gun
keyword	violence
keyword	knife in the chest
