year	1958
imdb score	8.5
meta score	N/A
genre	Mystery
genre	Romance
genre	Thriller
keyword	acrophobia
keyword	police
keyword	shipbuilder
keyword	san francisco bay
keyword	hair
keyword	death
keyword	college friend
keyword	rescue
keyword	police detective
keyword	church
keyword	vertigo
keyword	ex fiancee
keyword	bodily possession
keyword	museum
keyword	flower in water
keyword	skeptic
keyword	cigarette smoking
keyword	bookshop
keyword	memory
keyword	police chase
keyword	betrayal
keyword	souvenir of murder
keyword	stable
keyword	private eye
keyword	retirement
keyword	romantic obsession
keyword	may december romance
keyword	transformation
keyword	confession
keyword	reference to mozart
keyword	close up of eyes
keyword	nun
keyword	art museum
keyword	conversation in car
keyword	character says i love you
keyword	cult film
keyword	dizziness
keyword	fetish
keyword	corset
keyword	california
keyword	woman with glasses
keyword	reference to jack the ripper
keyword	famous score
keyword	shipyard
keyword	alley
keyword	skepticism
keyword	obsession
keyword	flower
keyword	concealed nudity
keyword	flower shop
keyword	mental breakdown
keyword	man in love
keyword	imagery
keyword	inquest
keyword	spiral
keyword	clothing store
keyword	dream sequence
keyword	husband wife relationship
keyword	chase on roof
keyword	graveyard
keyword	apartment building
keyword	painting
keyword	actress playing multiple roles
keyword	meta film
keyword	tea dance
keyword	surveillance
keyword	commercial artist
keyword	accidental death
keyword	church bell
keyword	shipping company
keyword	animated sequence
keyword	artist
keyword	police officer
keyword	deception
keyword	stool
keyword	neurotic
keyword	jewelry
keyword	look alike
keyword	necklace
keyword	mistaken identity
keyword	ends with death
keyword	husband murders wife
keyword	roof chase
keyword	death obsession
keyword	bouquet
keyword	age difference
keyword	lost love
keyword	phobia
keyword	fainting
keyword	apartment
keyword	female tears
keyword	friendship
keyword	color motif
keyword	hotel
keyword	impostor
keyword	eye
keyword	bachelor
keyword	girl in bathrobe
keyword	fear of heights
keyword	ex fiancé ex fiancée relationship
keyword	nosegay
keyword	damsel in distress
keyword	deceit
keyword	new dress
keyword	driving a car
keyword	bookstore
keyword	reliving the past
keyword	leitmotif
keyword	grave
keyword	vertigo shot
keyword	tragic event
keyword	hair salon
keyword	crying
keyword	bra
keyword	self destructiveness
keyword	livery stable
keyword	california mission
keyword	murder of wife
keyword	wandering
keyword	impersonation
keyword	fainting man
keyword	spanish mission
keyword	forest
keyword	feeling dizzy
keyword	cul de sac
keyword	voice over narration
keyword	paranoia
keyword	romantic triangle
keyword	tree
keyword	haunted by the past
keyword	hoax
keyword	flashback
keyword	female crying
keyword	orchestral music score
keyword	riding in car
keyword	following someone
keyword	policeman
keyword	wooden horse
keyword	throwing flowers in water
