year	1998
imdb score	6.5
meta score	57
genre	Comedy
genre	Drama
genre	Romance
keyword	internet
keyword	bookstore
keyword	book
keyword	love
keyword	remake
keyword	advice
keyword	assumed identity
keyword	chanting
keyword	reference to joni mitchell
keyword	newspaper
keyword	caviar
keyword	nickname
keyword	sick woman
keyword	singing girl
keyword	brooklyn bridge
keyword	online chat
keyword	america on line
keyword	bedroom
keyword	checkout clerk
keyword	79th street boat basin manhattan new york city
keyword	female business owner
keyword	man with glasses
keyword	stuck in an elevator
keyword	name tag
keyword	the end
keyword	compact mirror
keyword	evian bottled water
keyword	online friend
keyword	boyfriend girlfriend relationship
keyword	air quote gesture
keyword	jump
keyword	reference to george bernard shaw
keyword	rose
keyword	computer
keyword	christmas lights
keyword	lying on a couch
keyword	talking in bed
keyword	balloon
keyword	reference to clark gable
keyword	intercom
keyword	subway ride
keyword	contraction in title
keyword	elevator malfunction
keyword	chick flick
keyword	internet romance
keyword	brother brother relationship
keyword	reading a story to a child
keyword	1990s
keyword	limousine
keyword	big business
keyword	color remake of black and white film
keyword	appeared on tv news
keyword	three word title
keyword	reading aloud
keyword	opposites attract
keyword	reference to attila the hun
keyword	christmas tree
keyword	pop up book
keyword	offer to help
keyword	cup of tea
keyword	reference to pandora's box
keyword	bookshop
keyword	character appears on a tv talk show
keyword	sandwich
keyword	grocery store
keyword	sitting on the floor
keyword	dog
keyword	publicity
keyword	gray's papaya
keyword	reference to cinderella
keyword	reference to michel foucault
keyword	reference to clark bar
keyword	business competitor
keyword	zabar's food emporium new york city
keyword	news report
keyword	one dollar bill
keyword	decorating a christmas tree
keyword	title directed by female
keyword	instant messaging
keyword	reference to the godfather
keyword	bibliophilia
keyword	goldfish
keyword	struggling business
keyword	local shop
keyword	reference to joan of arc
keyword	e mail
keyword	reference to anne of green gables the novle
keyword	reference to bloomingdale's department store
keyword	knock knock joke
keyword	reading a newspaper
keyword	authoress
keyword	business conflict
keyword	reference to the new york times
keyword	friend
keyword	aunt nephew relationship
keyword	reference to the new york observer
keyword	businessman
keyword	new york city
keyword	animated opening credits
keyword	online relationship
keyword	character says go to hell
keyword	written by director
keyword	typewriter
keyword	reference to the village voice the newspaper
keyword	visa card
keyword	spelling a word out loud
keyword	product placement
keyword	reference to the unabomber
keyword	snowing
keyword	argument
keyword	apostrophe in title
keyword	business executive
keyword	having a cold
keyword	e mail read aloud
keyword	yellow cab
keyword	children's author
keyword	reference to francisco franco
keyword	on line conversation
keyword	free publicity
keyword	sex talk
keyword	hidden identity
keyword	holding one's hand over someone's mouth
keyword	watching news on tv
keyword	kleenex
keyword	verdi square manhattan new york city
keyword	altered version of studio logo
keyword	online identity
keyword	reference to ruth messinger
keyword	reading to a child
keyword	reading a book
keyword	business rivalry
keyword	clearance sale
keyword	ends with a kiss
keyword	photograph in newspaper
keyword	sneezing
keyword	gift of flowers
keyword	reference to rudy giuliani
keyword	waving
keyword	studio logo segues into film
keyword	small business owner
keyword	standing in line
keyword	watching self on tv
keyword	credit card
keyword	handkerchief
keyword	competing businesses
keyword	meeting on the internet
keyword	foreign language adaptation
keyword	grocery store checkout clerk
keyword	secret
keyword	movie theater
keyword	knock on door
keyword	sale
keyword	small business
keyword	manhattan new york city
keyword	stalled elevator
keyword	taxi
